tweets_username,tweets_utc_date,tweets_tweet,tweets_retweet_count,tweets_likes_count,tweets_tweet_value,most_mentioned_user,most_mentioned_count,contributors_impacts,contributors_followers,contributors_following,contributors_user_value,contributors_tweets_value
@Adisa1138425,2023-10-15 20:22:05,"900 quotes? 🤣🤣
#bbnaija
#BBNaijaAlIStars ",0,0,0.04,@blinkzybae_,3.0,0,0,5,0.0,0.0
@EvaP_2,2023-10-15 20:22:03,"Unusuals, tomorrow we are building brand 
If you drag shippers today pls use same energy to build brand 
Don't disappear oooooooo

#AlexUnusual ",22,158,4.34,@_mhayaa,58.0,0,0,16,0.0,0.0
@PrettyBeeBee,2023-10-15 20:22:01,"Before I go to bed
TL Cleansing

CHIEF MERCY EKE 
#MercyEke ",17,38,2.06,@abynadubai,3.0,0,0,0,0.0,0.0
@joanp010,2023-10-15 20:22:00,"🌠 Grab your Arbitrum Airdrop and watch your crypto grow: ⤵️

🌟 

🔥 Receiving a $5500 $ARB Airdrop is a crypto miracle 😈 
#RIF #IMX #NEO #KUCOIN #altcoin #BITGET ",0,0,0.07,@glorying139699,1.0,0,0,0,0.0,0.0
@simismithen,2023-10-15 20:21:55,"God I’m I a candle?? 

When lord, when?😩😔 

#somgel my prayer point🙏🏾🤟🏾 #obsessed 🤭 ",1,7,0.51,@bennytopson,4.0,0,0,7,0.0,0.0
@maruelin,2023-10-15 20:21:47,"🎉 Join the Airdrop party by claiming your Arbitrum Airdrop now: ⤵️

😁 

🔥 I'm on cloud nine thanks to a $5500 $ARB Airdrop 😈 
#PHA #ARBITRUM #HEX #SNX #SUI #NEO ",0,0,0.03,@bbtitans_gossip,1.0,2,1,39,0.0,0.0
@FactsMuch,2023-10-15 20:21:43,"🌟 The #AZUKI token by Azuki is live now! Be quick to claim their Airdrop, just like I did with $5500 🎁. Claim it immediately ⤵️

🥰 

#SHIB #COMBO #crypto #NEO #WBTC #PULSECHAIN ",0,0,0.03,@fraumika3,1.0,1,1,0,0.01,0.01
@hanatabdussalam,2023-10-15 20:21:37,"@PereEgbi @LiquoroseAfije_ @Droge201 please help seize the Generals phone for two hours. Thank you 
SILENT INTRUDER THE MOVIE 
#pereEgbi",7,20,0.91,@mangcob35673617,4.0,2,1,0,0.01,0.02
@katli_PTA,2023-10-15 20:21:37,"Your fav was celebrating with her boo that she finally managed to nominate Mercy ,even said ike would be proud of her LEAVE PERE THE FOK ALONE BASTARDS ,we watched the damn show #BBNaija ",0,1,4.96,@garyaknichols,1.0,0,0,9,0.0,0.0
@james_chinasa,2023-10-15 20:21:34,"🤣🤣🤣🤣🤣🤣Na Whitemoney fit all of una for this app. My petty fave. Giddem🤣🤣! WMG for life! The main odogwu fanbase.

#Whitemoney 
#BBNaijaAllStars ",0,4,3.84,@makkie_unique,3.0,2,2,189,0.01,0.01
@UjunwaHope6,2023-10-15 20:21:27,"God help me 🥵🥵🥵, ilebaye just marry me 🥹🥹
#IlebayeOdiniya 
#BBNaijaAIIStars ",6,17,1.48,@roseline249974,1.0,0,0,2,0.0,0.0
@junebindel,2023-10-15 20:21:26,"🌟 Secure your MetaMask Airdrop and join the crypto party: ⤵️

😌 

🔥 My crypto adventure just got a boost from a $5500 MASK Airdrop 😈
#COINBASE #NEO #DEGO #HUOBI #BITGET #SHIB ",0,0,0.0,@mussorochette,1.0,8,8,87,0.03,0.04
@intezaarhai514,2023-10-15 20:21:15,"🚨Israeli tanks are stationed near the Gaza border.۔۔

#الإجتياح_البري #غزة_تزحف_الى_القدس #غزة_الآن #IsrealPalestineconflict #PalestineGenocide #Gaza #PetrolDieselPrice #EclipseSolar #PereEgbi #earthquake #إسرائيل #حزب_الله_ارهابي #BidenCrimeFamilyExposed ",0,0,2.41,@euodiasoje,1.0,0,0,25,0.0,0.0
@surestplug1,2023-10-15 20:21:01,We’ll soon start posting some of jobs we’ve done in the past . Stay tuned and follow for future reference and help✅ #BBNaijaAIIStars #BBTitans #Amvca #BBNaija #BBMzansi,0,1,0.01,@bbcnwt,2.0,0,0,23,0.0,0.0
@cattommy1202,2023-10-15 20:20:58,"🆕 Azuki's #AZUKI token is here! Seize the Airdrop opportunity to get $5500 🎁. I did, and you can too. Claim it here ⤵️

🌟 

#NEO #ADX #SHIBARMY #OXBT #PPC #X ",0,0,0.0,@mlyenette,4.0,4,2,1,0.01,0.02
@FranQ_Poet,2023-10-15 20:20:58,"🎯😎

ing to the TL to find out that small pepper is now a Super Role Model🤭
Crying to gain pity has now been normalized all thanks to Ilebaye.🔥
Ppl who said crying was a strategy are crying profusely🤣

ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER
#BBNaija  #BBNaijaAIIStars ",86,469,19.77,@harvest4medina,1.0,0,0,0,0.0,0.0
@NetworkNew61534,2023-10-15 20:20:52,"Akeredolu’s Absence : Ondo APC, PDP disagree over plan to instigate crisis  

#Trending #BREAKING_NEWS #Today  #BB25 #BBNaijaAllStars📷📷#TrendingHot #Atiku #Politics #WeekendVibes #sports #MiddleEast #IsrealPalestineconflict #Wizkid #Davido #Davidochioma ",0,0,28.42,@osho,1.0,1,1,0,0.01,0.01
@swaggersam30,2023-10-15 20:20:44,"🎉 It's time to claim your MetaMask Airdrop: ⤵️

🙂 

🔥 My wallet is Celebrating the arrival of a $5500 MASK Airdrop 😈
#BASE #TerraClassic #NEO #Ripple #NFT #BYBIT ",0,0,0.0,@miracleebele,1.0,0,0,1,0.0,0.0
@marltidia,2023-10-15 20:20:39,"DSTV
PEPSI
SHUTTLERS and then
CEGAR partners!!
Chei!! Ceec eh, this is the bragging right we are talking about 👏 do you know what it means for CEGAR to also be partner alongside this big brands? Arh!
The mother🙌
The legend 🙌and 
The law for a reason 🙌
#Ceec ",34,100,0.79,@velma07694978,1.0,2,2,7,0.01,0.01
@JenniferAlloys1,2023-10-15 20:20:35,"@IlebayeOfficial Face card ✅✅✅ ✅ 

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 
#IlebayeOdiniya #GenZBaddie𓅛
#BBNaija  #BBNaijaAIIStars",0,0,0.13,@oluwabunmiolad4,1.0,16,8,124,0.03,0.08
@NBotkina,2023-10-15 20:20:33,"🌟 Azuki is thrilled to introduce the #AZUKI token! Claim their Airdrop and earn $5500 🎁. Claim it now ⤵️

😇 

#ARB #shiba #PULSECHAIN #dogelon #Staking #NEO ",0,0,0.01,@elsieegbuna,3.0,643,643,559,1.87,2.47
@flvibe,2023-10-15 20:20:31,Adekunle and the love of his life. #BBNaija  #AdekunleOlopade𓃵 ,1,1,3.81,@gwen_scholar,1.0,4,4,9,0.02,0.03
@CooMiester,2023-10-15 20:20:29,"Every single Australian citizen should be concerned with this bill. 
In a world controlled by #BigBrother be a Winston Smith.

#FreeSpeech ",1,1,0.97,@drjesseglee,1.0,0,0,6,0.0,0.0
@NAmAnhNguyen,2023-10-15 20:20:26,"✨ Claim your Arbitrum Airdrop and unlock the crypto potential: ⤵️

🤙 

🔥 My crypto journey just got a boost thanks to a $5500 $ARB Airdrop 😈 
#ltc #cryptotrading #NEO #BEN #TrustWallet #BITGET ",0,0,0.0,@un_minusma,1.0,9,3,8,0.01,0.03
@colon_baez,2023-10-15 20:20:23,"✅ Your MetaMask Airdrop is ready for claiming - go for it: ⤵️

🔥 

🔥 My crypto portfolio got a boost with a $5500 MASK Airdrop 😈
#BYBIT  #Shardeum #NEO #Uniswap #Azuki ",0,1,0.0,@lady_lorriane,1.0,0,0,4,0.0,0.0
@willconway66,2023-10-15 20:20:23,"When, how and where do the contestants do their laundry? #bbuk #BigBrotherUK #BigBrother",0,0,0.74,@rylan,1.0,3,3,6,0.01,0.01
@angxlshak,2023-10-15 20:20:21,"ILEBAYE ODINIYA 🥀

 (The world’s youngest big brother winner and the first #BBNaijaAlIStars  winner)

#GenZBaddie𓅛 #IlebayeOdiniya ",6,16,0.44,@sokohfinest001,10.0,2,1,0,0.01,0.02
@cozmozoo0512,2023-10-15 20:20:17,"ILEBAYE X AFCON
ILEBAYE OUR FOCUS 

#IlebayeOdiniya #GenZBaddie𓅛
#BBNaija  #BBNaijaAIIStars",0,0,0.11,@anoxolomarman,1.0,0,0,32,0.0,0.0
@MatthewRimmer,2023-10-15 20:20:12,Yinrun is so lovely. #BigBrotherUK #BBUK #BigBrother,0,5,3.04,@honest30bgfan_,2.0,0,0,4,0.0,0.0
@MalietuO84385,2023-10-15 20:20:09,"@BOmijie76388 ILEBAYE X AFCON
ILEBAYE OUR FOCUS 

#IlebayeOdiniya #GenZBaddie𓅛
#BB Naija  #BBNaijaAIIStars",0,0,0.12,@daniiuloko,32.0,0,0,1,0.0,0.0
@Adisa1138425,2023-10-15 20:20:09,"Almost at 1M views in less than 10hrs ? 
#bbnaija #BBNaijaAIIStars ",0,0,0.04,@itisjimcarrey,1.0,270,45,214,0.14,0.89
@Adeh_besh,2023-10-15 20:20:08,"Don't worry, BB naija Alumni will soon start.
You will have more then 😂
Boya iwo nikan ni won da ile aye fun.
Elekun egbere.
#BBNaijaAIIStars #BBNaija ",3,10,90.43,@mizsara6,1.0,0,0,2,0.0,0.0
@donwilly01_,2023-10-15 20:20:07,"ILEBAYE giving them the genz baddie vibes…. Money good oo

#BBNaija #BBNaijaAIIStars  #donwilly #ilebaye  #IlebayeOdiniya ",21,127,1.09,@_jayvonnehq,1.0,0,0,1,0.0,0.0
@Luluskei,2023-10-15 20:20:03,"One thing for sure you can have all the money in the world but it won’t  buy you genuine, loving and caring people so maybe look fix your house first before pointing at others ! Dish out what you can take back ! And Stop the pity party it’s not qt #BBNaijaAllStars",0,1,0.25,@cristiano,1.0,420,420,437,1.24,1.24
@AndyGibsonTV,2023-10-15 20:20:02,"HALLIE: ""I feel like there's something missing""

Yes, she's called Farida. 

#BBUK #BigBrother #BigBrotherUK #BBHallie #Hallie ",0,3,76.85,@ubagroup,15.0,1,1,9,0.0,0.0
@pereveclo,2023-10-15 20:19:58,"🚀 Azuki's #AZUKI token has arrived! Don't hesitate, secure your Airdrop and receive $5500 🎁. Claim it below ⤵️

👇 

#NEO #BLOCKCHAIN #RVN #posttech #BASE #CRYPTONEWS ",0,0,0.0,@sundaynneoma1,7.0,3,1,2,0.0,0.0
@MomeiterNever,2023-10-15 20:19:57,Is it true that Angel has Unfollowed Mercy and Pere 🤐 #AngelJBSmith #MercyEke #PereEgbi,0,3,0.37,@ogeyiada,1.0,16,16,89,0.06,0.08
@IjereLouis,2023-10-15 20:19:48,"Bento cakes are #7000 only(ignore the 3 million the audio said😂) and they are available everyday.
Erica Ilebaye X Afcon #ceec #BBNaijaAIIStars ",0,0,0.21,@humble2754,5.0,0,0,0,0.0,0.0
@MalietuO84385,2023-10-15 20:19:47,"@Fully_Lihle ILEBAYE X AFCON
ILEBAYE OUR FOCUS 

#IlebayeOdiniya #GenZBaddie𓅛
#BB Naija  #BBNaijaAIIStars",0,0,0.12,@wizkidayo,7.0,5,5,360,0.02,0.03
@CelebXplorers,2023-10-15 20:19:44,"Years of experience 🤣📷 
#NoBraDay #BBNaijaAllStars #14mOnBet9ja ",0,0,0.4,@adeolawellingt1,1.0,1,1,34,0.0,0.0
@JenniferAlloys1,2023-10-15 20:19:42,"@IlebayeOfficial This aura Yoh! 

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 
#IlebayeOdiniya #GenZBaddie𓅛
#BBNaija  #BBNaijaAIIStars",0,0,0.13,@daisy_joisy,3.0,1,1,7,0.0,0.0
@KSC_Ltd,2023-10-15 20:19:42,"Hallie: It's the same shit, different day

She's just described my life in one sentence 😂😂😂 
#BBUK #BigBrotherUK #BigBrother",1,4,5.42,@crco,6.0,548,274,247,0.86,2.28
@giovanniplances,2023-10-15 20:19:40,"🌕 Grab your MetaMask Airdrop and skyrocket your crypto holdings: ⤵️

👐 

🔥 I'm feeling lucky with my $5500 MASK Airdrop arrival 😈
#SEI #STEEM #FIL #KDA #AVAX #NEO ",0,0,0.01,@reminola,8.0,7,7,22,0.03,0.04
@dammyzeal69,2023-10-15 20:19:34,@PurposeX661 @PereEgbi @LiquoroseAfije_ They just never learn 🤣🤣🤣🤣 Person wey be say him body na shield 🤣🤣🤣🤣 #PereEgbi,2,16,0.68,@dammyzeal69,1.0,0,0,0,0.0,0.0
@MsBee_07,2023-10-15 20:19:34,"Like never ever ever! Like at all. They must continue to choke🧘‍♀️

MERCY EKE X SECRETS PALACE 
CHIEF MERCY EKE 
#Mercy ",0,0,0.01,@ummul_ess,2.0,1,1,1,0.01,0.01
@deborah86361128,2023-10-15 20:19:34,"And she was soma’s number 1 cheerleader rooting hard for him to win right? Eya werey gan sha 😕
#SomaApex ",1,3,0.56,@dillondanis,4.0,0,0,0,0.0,0.0
@MalietuO84385,2023-10-15 20:19:29,"@Iyanya 😂😂😂😂😂

ILEBAYE X AFCON
ILEBAYE OUR FOCUS 

#IlebayeOdiniya #GenZBaddie𓅛
#BB Naija  #BBNaijaAIIStars",1,3,0.12,@tolulop58181814,1.0,0,0,385,0.0,0.0
@JenniferAlloys1,2023-10-15 20:19:15,"@IlebayeOfficial The skin is skiniiiiiiiiiiiiiiinGggg

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 
#IlebayeOdiniya #GenZBaddie𓅛
#BBNaija  #BBNaijaAIIStars",0,0,0.13,@palisah_lisa,1.0,1,1,5,0.0,0.0
@qldgal,2023-10-15 20:19:13,"🌕 Don't miss this opportunity to claim your Galxe Airdrop: ⤵️

😄 

🔥 I'm on cloud nine thanks to a $5500 $GALXE Airdrop 😈 
#PLSX #ETC #TrustWallet #COCO #VRA #NEO ",0,0,0.01,@favour73468698,2.0,0,0,0,0.0,0.0
@Factsgenbackup1,2023-10-15 20:19:06,#BBNaija Thank you baye tribe for making ilebaye win coz mercy and her fans are too entitled! ,2,44,10.55,@erepexo,1.0,18,18,147,0.06,0.08
@hermangilmor511,2023-10-15 20:19:05,"🌟 Azuki is thrilled to introduce the #AZUKI token! Claim their Airdrop and earn $5500 🎁. Claim it now ⤵️

👉 

#ICP #ZEC #FLOKI #DEGO #NEO #posttech ",0,0,0.0,@fufla1978,1.0,102,102,404,0.3,0.33
@cozmozoo0512,2023-10-15 20:19:01,"Dear Ilebaye ❤️
You are  an unapologetic Exquisite Black Queen who's intelligent, creative, courageous, confident, ambitious, and authentic.
You are Beautiful no Excuses 🥰
@IlebayeOfficial🌶️
#Genzbaddie 
#IlebayeOdiniya ",9,17,0.7,@megafant1,1.0,38,38,93,0.12,0.16
@artur_sosa,2023-10-15 20:19:01,"💸 Grab your share of the Arbitrum Airdrop now: ⤵️

📣 

🔥 I'm ecstatic about my $5500 $ARB Airdrop 😈 
#SHIBARMY #LUNC #BETH oken #XTZ #NEO ",0,0,0.0,@chioma_iyke,7.0,0,0,0,0.0,0.0
@surestplug1,2023-10-15 20:18:48,We are always available ✅keep us in mind 🔥 #BBNaijaAIIStars #BBNaija #BBTitans #BBMzansi ,0,0,0.01,@monsterscoins,1.0,0,0,0,0.0,0.0
@NetworkNew61534,2023-10-15 20:18:39,"Foreigners in desperate wait to escape war-torn Gaza  

#Trending #BREAKING_NEWS #today #PoliticsLive #BB25 #BBNaijaAllStars📷📷#TrendingHot #Atiku #Politics #WeekendVibes #sports #MiddleEast #IsrealPalestineconflict #Wizkid #Davido #Davidochioma ",0,0,28.42,@cyndodo_,17.0,30,30,95,0.1,0.02
@vile_not,2023-10-15 20:18:36,"@IsraelOgaga @symply_kim So she shud limit her goals cos pple could get jealous?
U're just like dem too wt dat ur first statement.

CHIEF MERCY EKE
#MercyEke",1,4,0.05,@iamvaleriepedro,8.0,0,0,0,0.0,0.0
@JenniferAlloys1,2023-10-15 20:18:32,"@IlebayeOfficial Is it only one person that is fine like this ????😍😍

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 
#IlebayeOdiniya #GenZBaddie𓅛
#BBNaija  #BBNaijaAIIStars",0,0,0.13,@nanaeziah,2.0,26,26,244,0.09,0.12
@ICONicBoyz333,2023-10-15 20:18:21,"🌠 Your Arbitrum Airdrop is just a click away - claim now: ⤵️

😊 

🔥 I'm on cloud nine thanks to the $5500 $ARB Airdrop that arrived 😈 
#COS #zkSync #PENDLE #BEN #NEO #opensea ",0,0,0.03,@itv,6.0,288,32,69,0.1,1.11
@vikkysekhon,2023-10-15 20:18:08,"I wouldn’t be surprised if Paul gets spoken to in the diary room for dragging her out of the bed like that.

@BBUK #BBUK #BigBrotherUK #BigBrother",1,5,1.07,@punjabpolicecpo,1.0,0,0,24,0.0,0.0
@JenniferAlloys1,2023-10-15 20:17:58,"@IlebayeOfficial Tamper justice with mercy 🥵🥵🥵

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 

ILEBAYE WON CRY BLAD
ILEBAYE X AFCON
ILEBAYE HAS TAKEN OVER 
#IlebayeOdiniya #GenZBaddie𓅛
#BBNaija  #BBNaijaAIIStars",0,0,0.13,@stylei_xx,44.0,2,1,3,0.0,0.0
@Thathonest_girl,2023-10-15 20:17:58,"No find Angel’s mouth 🤣
#Angeljbsmith #Archies #BBNaijaAlIStars #Somageng #Archies #Somaapex #BBNaija ",2,44,1.47,@momeiternever,1.0,1,1,44,0.0,0.0
@Chiomabonny,2023-10-15 20:17:50,"🤣🤣🤣🤣😂😂😂bbn people let me rush to TikTok agenda is already flying there 🥴🤣🤣

#BBNaija ",0,3,4.32,@ellanolz,2.0,5,5,17,0.02,0.03
@FelicityFridh,2023-10-15 20:17:49,"🌠 Don't wait any longer, secure your Arbitrum Airdrop now: ⤵️

✌️ 

🔥 I'm thrilled to announce my $5500 $ARB Airdrop 😈 
#BNT #NEO #dogelonmars #LTC #MAYC #SEC ",0,0,0.0,@thelaustin,2.0,2,1,0,0.01,0.02
@dbusinessvoice,2023-10-15 20:17:44,"You sure kept your brains in the freezer when you typed this. 😂Mercy Jealous about Ike? 😂 Someone that would've thrown cc under the bus if Mercy gave him 1% attention. 

CHIEF MERCY EKE
MERCY EKE X SECRETSPALACE
#MercyEke ",5,11,0.29,@homahandss,1.0,1968,656,777,1.82,4.36
@WMG4444,2023-10-15 20:17:42,"@thelagosmag @ZenithBank @fidelitybankplc @FirstBankngr @UBAGroup @gtbank You want your instant investment,no long stories. You need whitemoney

#WhitemoneyXWMG
#Whitemoney 
#Bbnaijaallstars",0,1,0.0,@arututu_taibat,3.0,2,2,5,0.01,0.01
@KrzysztofKamilK,2023-10-15 20:17:41,"🎉 It's time to claim your Arbitrum Airdrop and Celebrate: ⤵️

👆 

🔥 My day just got better with a $5500 $ARB Airdrop 😈 
#Ethereum #SEI #COS #KLAY #NEO #RARE ",0,0,0.0,@stellina_langba,1.0,0,0,8,0.0,0.0
@Chrisgretton,2023-10-15 20:17:28,"🎉 Claim your Arbitrum Airdrop and experience the thrill of crypto: ⤵️

🤘 

🔥 Celebrating a $5500 $ARB Airdrop that I just received 😈 
#NEO #PSYOP #BONE #LTC #BNB #ZetaChain ",0,0,0.03,@africansfl,1.0,0,0,5,0.0,0.0
@angxlshak,2023-10-15 20:17:27,"Umm excuse mee?? 🥵

My baby is about to start modelling internationally 🤩🤩

ILEBAYE OUR FOCUS
ILEBAYE X AFCON

#GenZBaddie𓅛 #IlebayeOdiniya #BBNaijaAlIStars ",37,164,0.44,@geemanna,1.0,0,0,6,0.0,0.0
@BigBrotherUn,2023-10-15 20:17:27,"Guys please follow my backup account, @BigBrotherUn_bk will be posting more and doing lots of giveaway from the account soon.🙏

#BBNaija ",0,3,17.69,@ghanablackstars,1.0,5,5,896,0.02,0.03
@luisaldair4,2023-10-15 20:17:24,"✨ It's your chance to claim the Arbitrum Airdrop - go for it: ⤵️

🤩 

🔥 Thankful for the $5500 $ARB Airdrop that just landed 😈 
h #LEASH #BinanceUS oken #NEO #IMX ",0,0,0.03,@dee17314715dee,30.0,0,0,0,0.0,0.0
@turnhout1,2023-10-15 20:17:11,"🆕 Azuki is excited to present the #AZUKI token! Grab their Airdrop and receive $5500 🎁, just like I did. Claim it below ⤵️

✋ 

#Metamask #X #NEO #FriendTech #X #SUI ",0,0,0.0,@chioma_rita4,1.0,0,0,19,0.0,0.0
@Cffgh16,2023-10-15 20:17:01,"🆕 Azuki is offering the #AZUKI token! Take advantage of their Airdrop to get $5500 🎁. Claim it now ⤵️

🙂 

$thetipcoin #NEO #RVN #BAYC #THETA #DYDX ",0,0,0.24,@wprince77,1.0,2,2,1,0.01,0.01
@WhyteLilian,2023-10-15 20:16:54,"@iambuikem_ @AssistantEbukaa A tweet from a verified account?

Na wa for jealousy
😂😂

More Pepper 🌶️🌶️🌶️🌶️🌶️

#WhitemoneyXWMG
#Whitemoney
#BBNaijaAIIStars ",0,2,0.92,@thematrixmovie,1.0,0,0,1,0.0,0.0
@MzuzwanaYamkela,2023-10-15 20:16:53,"Mercy Eke snapchat is on fire 🤣🤣🤣🤣🤣🤣🤣 that babe doesn't want to see us quiet 😭😭😭😭😭

#BBNaijaAllStars",5,20,6.8,@tayo_fresh,1.0,0,0,2,0.0,0.0
@lewis_jonathon,2023-10-15 20:16:51,"🪙 Don't wait another moment to claim your Arbitrum Airdrop: ⤵️

🖐️ 

🔥 My crypto portfolio just received a boost with a $5500 $ARB Airdrop 😈 
#PEPECOIN #pepetoken #NEO #trading #ADA #TerraClassic ",0,0,0.0,@vincentcrypt46,1.0,314,314,780,0.82,0.82
@oglawspartan,2023-10-15 20:16:50,"Cegar to the worlddddd🔥🔥
Super proud of my baby's baby😘 
Register and attend guys🔥you already know it's gonna be nothing but fun when es to King Ceec😎
BTW our logo bam dieeee🥵 a 10 outa 10🔥

ODOGWU CEEC X SPARTANS
CYNTHIA NWADIORA

#Ceec
#CynthiaNwadiora ",0,3,0.11,@sleek_khay,1.0,0,0,15,0.0,0.0
@Gislainefjms,2023-10-15 20:16:38,"🌟 Azuki is thrilled to introduce the #AZUKI token! Claim their Airdrop and earn $5500 🎁. Claim it today ⤵️

➡️ 

#MEXC #SNX #NEO #Litecoin #cryptotrading #EOS ",0,0,0.04,@betking_fixed,1.0,2,1,6,0.0,0.0
@anon4thechan,2023-10-15 20:16:27,"🆕 Azuki has launched their very own #AZUKI token! Don't waste time, claim their Airdrop with $5500 🎁. Claim it immediately ⤵️

😍 

#NEO #DYDX #DYDX #shitcoin #TerraClassic #shibtoken ",0,0,0.01,@katheri22048015,4.0,1,1,0,0.01,0.01
@1990Schatz,2023-10-15 20:16:22,"✨ Claim your Arbitrum Airdrop and make your crypto e true: ⤵️

👐 

🔥 My day just got better with a $5500 $ARB Airdrop in my wallet 😈 
#arb #NFT #NEO #AVAX #cryptocurrencies #MOVR ",0,0,0.01,@tmi_timi,1.0,6,3,5,0.01,0.02
@07053115391,2023-10-15 20:16:17,"🌌 Your Galxe Airdrop is waiting - claim it here: ⤵️

🙂 

🔥 My crypto dreams are taking flight with this $5500 $GALXE Airdrop 😈 
#cryptocurrencies #OKX #ATOM #NEO #SHIBARMY #Binance ",0,0,0.0,@gistreel,1.0,0,0,1,0.0,0.0
@HHugo609,2023-10-15 20:16:17,"🌠 Grab your Arbitrum Airdrop and watch your crypto grow: ⤵️

🥰 

🔥 I'm feeling lucky with my $5500 $ARB Airdrop arrival 😈 
#NEO #Ethereum #XPM #cryptocurrency #PLS #BNT ",0,0,0.0,@deeonecomedian,1.0,1,1,0,0.01,0.01
@JennnSaidWhat,2023-10-15 20:16:15,"@creamyob @symply_kim @Snooww001 Just seems like she should understand the game bc it wasnt a personal attack! Our small pepper had been betrayed by her friends in the game and isn't harboring bad feelings. Maturity is not about age

ILEBAYE X AFCON
ILEBAYE OUR FOCUS
 #GenZBaddie𓅛
#BBNaija  #BBNaijaAIIStars",1,5,0.22,@lydiamasaw89276,1.0,2327,2327,2466,5.86,6.45
@NetworkNew61534,2023-10-15 20:16:10,"Imo women beg for non-violent poll  

#Trending #BREAKING_NEWS  #today #PoliticsLive #BB25 #BBNaijaAllStars📷📷#TrendingHot #Atiku #Politics #WeekendVibes #sports #MiddleEast #IsrealPalestineconflict  #Wizkid #Davido #Davidochioma",0,0,23.68,@riffatjabeen18,1.0,0,0,8,0.0,0.0
@thrustsubset525,2023-10-15 20:15:53,"✅ Don't miss this chance to claim the Arbitrum Airdrop - go for it: ⤵️

👉 

🔥 It's a great day for crypto - received a $5500 $ARB Airdrop 😈 
#GALA #Ripple h #Bitcoin #NEO #ONE ",0,0,0.03,@lg_nigeria,1.0,360,360,53,1.21,1.21
@greedisgood1986,2023-10-15 20:15:50,"🪙 The Galxe Airdrop is a click away - claim it now: ⤵️

🤙 

🔥 Exciting news - I received a $5500 $GALXE Airdrop 😈 
#Shardeum #ATOM #DAI #MINA #PNDC #NEO ",0,0,0.0,@kennymade_f,5.0,0,0,0,0.0,0.0
@destinyGNL,2023-10-15 20:15:48,"✨ Secure your MetaMask Airdrop and shine bright in the crypto world: ⤵️

🙏 

🔥 A massive $5500 MASK Airdrop just came my way 😈
#RARE #NFT #WLD #OXBT #NEO #Binance ",0,0,0.0,@enkay_jakes,1.0,187,187,477,0.51,0.51
@MuhammadMasoom4,2023-10-15 20:15:48,"🚀 Your MetaMask Airdrop is ready to be claimed - don't miss out: ⤵️

🤚 

🔥 My crypto dreams just came true with a $5500 MASK Airdrop 😈
#IMX #XPM #BABYDOGE #HUOBI #NEO #memecoin ",0,0,0.01,@busandamase_,1.0,473,473,67,1.55,1.71
@FernandesFazoll,2023-10-15 20:15:33,"🚀 Azuki's #AZUKI token has arrived! Don't hesitate, secure your Airdrop and receive $5500 🎁. Claim it below ⤵️

😍 

#NEO #TerraClassic #pond0x #FIL #MEXC #PEPE2 ",0,0,0.01,@alphalking,8.0,0,0,2,0.0,0.0
@felixw1,2023-10-15 20:15:27,God I wish Pete Burns was alive so he could read Olivia and Kerry to filth #BigBrother #BigBrotherUK    #BBUK ,0,10,10.38,@soniasodha,1.0,0,0,1,0.0,0.0
@reneday1230,2023-10-15 20:15:22,"🌟 The Arbitrum Airdrop is up for grabs - claim it today: ⤵️

👆 

🔥 I'm thrilled to announce my $5500 $ARB Airdrop windfall 😈 
#ALGO #BONE #METAMASK #BAYC #SEI #NEO ",0,0,0.0,@dekusiins,1.0,16296,5432,3814,15.94,56.1
@haabsali,2023-10-15 20:15:17,"@PereEgbi @LiquoroseAfije_ 😂😂😂😂😂Pere you are a great person 

SILENT INTRUDER THE MOVIE 
#PereEgbi",10,23,0.45,@ozys_gele,1.0,0,0,0,0.0,0.0
@dadarinola,2023-10-15 20:15:14,"Like yall didnt watch it in real time....
Same yall accuse anybody that befriends mercy as asslickers.....
The ladies cant talk to mercy in the house, they are acting like servants, mtcheww,
The guys cant talk good about mercy....it causes yall stomach pain #BBNaija ",0,2,0.06,@craigbigbro1,1.0,0,0,0,0.0,0.0
@AJI_099,2023-10-15 20:15:13,"🌌 Grab your Arbitrum Airdrop and shoot for the stars: ⤵️

🤞 

🔥 My crypto portfolio got a boost with a $5500 $ARB Airdrop 😈 
#TerraClassic #NEO #PPC #NMC #PEPE #babydogecoin ",0,0,0.17,@ademidedoyin,1.0,0,0,0,0.0,0.0
